No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
1,Minimalism & Swiss Style,General,"Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential","Monochromatic, Black #000000, White #FFFFFF","Neutral (Beige #F5F1E8, Grey #808080, Taupe #B38B6D), Primary accent","Subtle hover (200-250ms), smooth transitions, sharp shadows if any, clear type hierarchy, fast loading","Enterprise apps, dashboards, documentation sites, SaaS platforms, professional tools","Creative portfolios, entertainment, playful brands, artistic experiments",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 10/10, Bootstrap 9/10, MUI 9/10",1950s Swiss,Low,"Design a minimalist landing page. Use: white space, geometric layouts, sans-serif fonts, high contrast, grid-based structure, essential elements only. Avoid shadows and gradients. Focus on clarity and functionality.","display: grid, gap: 2rem, font-family: sans-serif, color: #000 or #FFF, max-width: 1200px, clean borders, no box-shadow unless necessary","☐ Grid-based layout 12-16 columns, ☐ Typography hierarchy clear, ☐ No unnecessary decorations, ☐ WCAG AAA contrast verified, ☐ Mobile responsive grid","--spacing: 2rem, --border-radius: 0px, --font-weight: 400-700, --shadow: none, --accent-color: single primary only"
2,Neumorphism 2.0 (High Contrast),General,"Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic","Light pastels: Soft Blue #C8E0F4, Soft Grey #E8E8E8","Tints/shades (±30%), gradient subtlety, color harmony","Soft box-shadow (multiple: -5px -5px 15px, 5px 5px 15px), smooth press (150ms), inner subtle shadow","Health/wellness apps, meditation platforms, fitness trackers, minimal interaction UIs","Complex apps, critical accessibility, data-heavy dashboards, high-contrast required",✓ Full,◐ Partial,⚡ Good,⚠ Improved Contrast,✓ Good,◐ Medium,"Tailwind 8/10, CSS-in-JS 9/10",2020s Modern,Medium,"Create a neumorphic UI with soft 3D effects but higher contrast for accessibility. Use light pastels, rounded corners (12-16px), subtle soft shadows, monochromatic color scheme.","border-radius: 12-16px, box-shadow: -5px -5px 15px rgba(0,0,0,0.1), 5px 5px 15px rgba(255,255,255,0.8), background: linear-gradient(145deg, color1, color2)","☐ Rounded corners 12-16px, ☐ Multiple shadow layers, ☐ Contrast checked for readability, ☐ Press animation smooth 150ms","--border-radius: 14px, --shadow-soft-1: -5px -5px 15px, --color-primary: single pastel"
3,Glassmorphism (Performance Optimized),General,"Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, multi-layer","Translucent: rgba(255,255,255,0.1-0.3)","Vibrant: Electric Blue #0080FF, Neon Purple #8B00FF","Backdrop blur (10-20px), subtle border (1px solid rgba white 0.2), light reflection, Z-depth","Modern SaaS, financial dashboards, high-end corporate, lifestyle apps, modal overlays, navigation","Low-performance devices, critical accessibility (if blur causes lag)",✓ Full,✓ Full,⚠ Optimized Blur,⚠ Ensure 4.5:1,✓ Good,✓ High,"Tailwind 10/10, MUI 8/10, Framer 10/10",2020s Modern,Medium,"Design a glassmorphic interface with frosted glass effect. Use backdrop-filter: blur(15px), translucent overlays, vibrant background colors, subtle borders, light source reflection.","backdrop-filter: blur(15px), background: rgba(255, 255, 255, 0.15), border: 1px solid rgba(255,255,255,0.2)","☐ Backdrop-filter blur 10-20px, ☐ Translucent white 15-30% opacity, ☐ Text contrast 4.5:1 checked, ☐ GPU-optimized transitions","--blur-amount: 15px, --glass-opacity: 0.15, --border-color: rgba(255,255,255,0.2)"
4,Brutalism & Neo-Brutalism,General,"Raw, unpolished, stark, high contrast, black borders, thick shadows, asymmetric, anti-design","Primary: Red #FF0000, Blue #0000FF, Black #000000","Neon Green #00FF00, Hot Pink #FF00FF","No smooth transitions, black shadows (offset 4-8px), bold typography (700+), visible grid, large blocks","Design portfolios, creative agencies, Gen Z brands, tech blogs, Figma-style apps","Corporate environments, healthcare, conservative industries",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✗ Low,"Tailwind 10/10, Bootstrap 7/10",1950s/2020s,Low,"Create a neubrutalist design with raw aesthetic. Use bold black borders (2-4px), solid offsets, no blurs, bright primary colors, monospace or bold sans fonts.","border: 3px solid black, box-shadow: 5px 5px 0px black, transition: none or 0ms","☐ Hard borders (2-4px), ☐ Hard offset shadows, ☐ High saturation colors, ☐ Bold typography, ☐ Visible grid lines","--border-width: 3px, --shadow-offset: 5px, --shadow-color: #000"
5,3D & Spatial UI,General,"Depth, realistic textures, 3D models, spatial navigation, tactile, skeuomorphic elements, rich detail, immersive","Deep Navy #001F3F, Forest Green #228B22, Gold #FFD700","Complex gradients, realistic lighting, shadow variations","WebGL/Three.js 3D, realistic shadows, physics lighting, parallax (3-5 layers), smooth 3D transitions","Gaming, product showcase, immersive experiences, high-end e-commerce, architectural viz, VR/AR","Low-end mobile, performance-limited, data tables/forms",◐ Partial,◐ Partial,❌ Complex,⚠ Not for high a11y,✗ Low,◐ Medium,"Three.js 10/10, R3F 10/10, Babylon.js 10/10",2020s Modern,High,"Build an immersive 3D interface using realistic textures, 3D models, complex shadows, realistic lighting, parallax scrolling.","transform: translate3d, perspective: 1000px, WebGL canvas, Three.js/Babylon.js","☐ WebGL/Three.js integrated, ☐ 3D models loaded, ☐ Parallax 3-5 layers, ☐ Realistic lighting verified","--perspective: 1000px, --parallax-layers: 5, --animation-duration: 400ms"
6,Bento Box 2.0 (Apple-Style),General,"Modular cards, asymmetric grid, varied sizes, Apple-style, dashboard tiles, negative space, clean hierarchy, cards","Neutral base + brand accent, #FFFFFF, #F5F5F7, brand primary","Subtle gradients, shadow variations, accent highlights for interactive cards","grid-template with varied spans, rounded-xl (16-24px), subtle shadows, hover scale (1.02), smooth transitions","Dashboards, product pages, portfolios, Apple-style marketing, feature showcases, SaaS","Dense data tables, text-heavy content, real-time monitoring",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 10/10, CSS Grid 10/10",2024 Apple/Linear,Low,"Design a Bento Box grid layout. Use: modular cards with varied sizes (1x1, 2x1, 2x2), Apple-style aesthetic, rounded corners (16-24px), soft shadows, neutral backgrounds (#F5F5F7).","display: grid, grid-template-columns: repeat(4, 1fr), grid-auto-rows: 200px, gap: 16px, border-radius: 24px","☐ Grid responsive (4→2→1 cols), ☐ Card spans varied, ☐ Rounded corners 24px, ☐ Shadows subtle, ☐ Hover scale (1.02)","--grid-gap: 16px, --card-radius: 24px, --card-bg: #FFFFFF, --page-bg: #F5F5F7"
7,Industrial Loft & Luxury,General,"Luxe, industrial, brick, copper, marble, high-end, serif, gold accents, photography-heavy, dark elegance","Dark Slate #1A1A1A, Antique Gold #D4AF37, Warm Brick #8B4513","Carrara Marble #F2F2F2, Copper #B87333, Deep Walnut #3D2B1F","Soft parallax, elegant fade-ins (400ms), copper glow on hover, serif headings, high-contrast photography","Luxury event spaces, boutique hotels, architectural portfolios, premium brands, loft living","Budget products, tech-only brands, data-heavy apps",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Good,✓ High,"Tailwind 10/10, Custom CSS 10/10",2025 Trend,Medium,"Design a luxury industrial loft interface. Use: dark slate backgrounds, gold/copper accents, serif typography (Playfair/Bodoni), marble textures, large high-end photography, minimal thin borders.","font-family: serif, color: #D4AF37, background: #1A1A1A, border: 1px solid rgba(212,175,55,0.3)","☐ Serif/Sans-serif pair (70/30), ☐ Metallic accents subtle, ☐ Marble/Brick textures high-res, ☐ Soft parallax on images, ☐ Gold hover states","--color-accent: #D4AF37, --color-bg: #1A1A1A, --font-heading: serif, --border-luxury: 1px solid"
8,Dark Mode (OLED Optimized),General,"Deep black, high contrast, blue-light reduction, power efficient, OLED, midnight, neon accents","True Black #000000, Dark Grey #121212","Neon Green #39FF14, Electric Blue #0080FF, Gold #FFD700","Minimal glow (text-shadow: 0 0 10px), dark-to-light transitions, low white emission, high readability","Night-mode apps, coding platforms, OLED devices, low-light environments, developer tools","Print-first content, high-brightness outdoor use",✗ No,✓ Only,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Low,"Tailwind 10/10, MUI 10/10",2020s Modern,Low,"Create an OLED-optimized dark interface with deep black (#000000). Use minimal glow effects, vibrant neon accents, high contrast text.","background: #000000, color: #FFFFFF, text-shadow: 0 0 10px neon","☐ Deep black #000000 used, ☐ Vibrant neon accents, ☐ Text contrast 7:1+, ☐ OLED power optimization","--bg-black: #000000, --text-primary: #FFFFFF, --accent-neon: #39FF14"
9,Accessible & Ethical (Pro Max),General,"Inclusive, high contrast, large text (16px+), focus state, semantic, WCAG AAA, screen reader friendly","WCAG AAA (7:1+), simple primary, clear secondary","Symbol-based colors, supporting patterns, inclusive combinations","Clear focus rings (3-4px), ARIA labels, skip links, responsive design, reduced motion","Government, healthcare, education, legal compliance, public services",None - accessibility universal,✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,All frameworks 10/10,Universal,Low,"Design with WCAG AAA compliance. Include: 7:1+ contrast, large text (16px+), focus states visible (3-4px ring), semantic HTML, ARIA labels.","color-contrast: 7:1+, font-size: 16px+, outline: 3-4px on focus-visible","☐ WCAG AAA verified, ☐ Keyboard navigation tested, ☐ Focus visible 3-4px, ☐ Semantic HTML used","--contrast-ratio: 7:1, --font-size-min: 16px, --focus-ring: 3px"
10,Claymorphism & 3D Playful,General,"Soft 3D, chunky, toy-like, bubbly, thick borders (3-4px), double shadows, rounded (16-24px)","Pastel: Soft Peach #FDBCB4, Baby Blue #ADD8E6","Soft gradients, light/dark variations","Inner+outer shadows (subtle), soft press (200ms), fluffy elements, smooth transitions","Educational apps, children's apps, creative tools, fun-focused, onboarding","Formal corporate, legal apps, finance, serious medical",✓ Full,◐ Partial,⚡ Good,⚠ Ensure 4.5:1,✓ High,✓ High,"Tailwind 9/10, CSS-in-JS 9/10",2020s Modern,Medium,"Design a playful interface with soft 3D, chunky elements, rounded edges (16-24px), double shadows (inner + outer).","border-radius: 16-24px, box-shadow: inset -2px -2px 8px, 4px 4px 8px, background: pastel-gradient","☐ Border-radius 20px+, ☐ Double shadows used, ☐ Pastel colors verified, ☐ Soft bounce animations","--border-radius: 20px, --shadow-outer: 4px 4px 8px, --animation: bounce"
