No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Navigation,Smooth Scroll,Web,Anchor links should scroll smoothly to target section,Use scroll-behavior: smooth on html element,Jump directly without transition,html { scroll-behavior: smooth; },<a href='#section'> without CSS,High
2,Navigation,Sticky Navigation,Web,Fixed nav should not obscure content,Add padding-top to body equal to nav height,Let nav overlap first section content,pt-20 (if nav is h-20),No padding compensation,Medium
3,Navigation,Active State,All,Current page/section should be visually indicated,Highlight active nav item with color/underline,No visual feedback on current location,text-primary border-b-2,All links same style,Medium
4,Navigation,Back Button,Mobile,Users expect back to work predictably,Preserve navigation history properly,Break browser/app back button behavior,history.pushState(),location.replace(),High
5,Navigation,Deep Linking,All,URLs should reflect current state for sharing,Update URL on state/view changes,Static URLs for dynamic content,Use query params or hash,Single URL for all states,Medium
6,Animation,Excessive Motion,All,Too many animations cause distraction and motion sickness,Animate 1-2 key elements per view maximum,Animate everything that moves,Single hero animation,animate-bounce on 5+ elements,High
7,Animation,Duration Timing,All,Animations should feel responsive not sluggish,Use 150-300ms for micro-interactions,Use animations longer than 500ms for UI,transition-all duration-200,duration-1000,Medium
8,Animation,Reduced Motion,All,Respect user's motion preferences,Check prefers-reduced-motion media query,Ignore accessibility motion settings,@media (prefers-reduced-motion: reduce),No motion query check,High
9,Layout,Content Jumping,Web,Layout shift when content loads is jarring,Reserve space for async content (aspect-ratio),Let images/content push layout around,aspect-ratio: 16/9,No dimensions on images,High
10,Touch,Touch Target Size,Mobile,Small buttons are hard to tap accurately,Minimum 44x44px touch targets (standard),Tiny clickable areas,min-h-[44px] min-w-[44px],w-6 h-6 buttons,High
11,AI Interaction,Hallucination Disclaimer,All,AI outputs can be factually incorrect,Include permanent or dismissible disclaimer for AI content,Present AI claims as absolute truth,generated by AI for info only,No disclaimer on AI text,High
12,AI Interaction,Thinking State,All,Users need feedback while AI processes complex tasks,Show 'Thinking' pulse or animated skeleton,Show generic loading spinner or frozen UI,.thinking-dot { animation: pulse },Blank screen while AI 'thinks',Medium
13,AI Interaction,Streaming UX,All,Large text blocks should appear gradually (streaming),Stream text token by token to reduce perceived latency,Show long wait then dump all text at once,Typewriter stream effect,10s spinner then text dump,Medium
14,AI Interaction,Feedback Loop,All,AI needs feedback to improve,Provide thumbs up/down or 'Regenerate' option,Read-only text with no way to improve,Buttons: [Good] [Bad] [Fix],Copy text button only,Medium
15,AI Interaction,Tone consistency,All,AI voice should match brand personality,Set system prompts for consistent tone,Random/Generic AI responses,System: Be concise and helpful,Bot: Default GPT-4 tone,Low
16,Sustainability,Asset Weight,Web,Heavy assets increase carbon footprint,Use WebP/AVIF and compress 3D models (Draco),Serve full-size PNG/RAW assets,srcset + loading=lazy,4MB PNG for mobile icon,High
17,Sustainability,Auto-Play Video,Web,Video loops consume massive energy and data,Disable auto-play or use low-res mute loops,Force 4K auto-playing background video,muted playsinline preload=none,autoplay loop=true high-res,Medium
18,Sustainability,Dark Mode Power,Mobile (OLED),Dark pixels save energy on OLED screens,Provide true black (#000) dark mode option,Dark grey only (#333),background: #000000,background: #333333,Low
19,Micro-interactions,Micro-haptics,Mobile,Physical feedback improves tap confidence,Add subtle vibration on success/error/toggle,Vibrate on every scroll or long text,navigator.vibrate(10),Vibrate on every div click,Low
20,Micro-interactions,Success Confetti,Web,Celebrate user achievement sparingly,Show confetti on checkout/signup completion,Show confetti on every button click,triggerConfetti() on SUCCESS,Confetti on hover,Medium
21,Bento Grid,Mobile Ordering,Mobile,Grid cells must re-order logically on small screens,Use grid-auto-flow or manual order for hierarchy,Let grid break randomly on mobile,md:grid-cols-4 grid-cols-1,grid-cols-4 overflow-x-scroll,High
22,Accessibility,Color Contrast 2025,All,Modern designs often use low-contrast text,Maintain 4.5:1 (AA) or 7:1 (AAA) strictly,Use light grey on white for 'aesthetic',#1a1a1a text on #fff,#e0e0e0 text on #fff,High
23,Privacy,Permission Request,All,Don't ask for location/media immediately,Request permissions only when functionally needed,Ask for everything on page load,btn.click() -> requestMicrophone(),onLoad() -> requestAll,High
24,Spatial UI,Gaze Hover,VisionOS/VR,Eyes track before hands touch,Add hover effects to gaze focus targets,Static elements until physical tap,hoverEffect() hover:scale-110,onTap only transition,Medium
25,Performance,Font Loading 2025,Web,Flash of unstyled text (FOUT) is jarring,Use font-display: swap with similar metrics fallback,Wait for font to finish loading before paint,font-display: swap,font-display: block,Medium
... (rest to be appended or generalized)
